Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-18 00:00:00-04:00,423.8989211095965,425.6382892751521,420.26115319205934,420.837646484375,46549400,0.0,0.0,0.0
2024-04-19 00:00:00-04:00,419.6549075000701,420.1816864022016,410.56050213994087,412.1308898925781,75136600,0.0,0.0,0.0
2024-04-22 00:00:00-04:00,414.774707234547,418.621190906449,411.4251859043828,416.2755432128906,47807700,0.0,0.0,0.0
2024-04-23 00:00:00-04:00,418.21368493804744,423.6902197392302,416.32523407521103,422.4875793457031,44384700,0.0,0.0,0.0
2024-04-24 00:00:00-04:00,425.5985583711029,427.1192619120067,421.6228596673361,423.9188232421875,48440300,0.0,0.0,0.0
2024-04-25 00:00:00-04:00,416.6930288119256,422.73610865976866,415.59973578358824,421.87139892578125,57392200,0.0,0.0,0.0
2024-04-26 00:00:00-04:00,425.02209081797236,429.9221324874542,424.32636170197503,428.3815612792969,41874900,0.0,0.0,0.0
2024-04-29 00:00:00-04:00,430.4986374251747,431.1248148789749,427.36778048835026,430.1209411621094,30022200,0.0,0.0,0.0
2024-04-30 00:00:00-04:00,428.53061086892023,429.93204827864963,421.9309669026947,422.0104675292969,43665900,0.0,0.0,0.0
2024-05-01 00:00:00-04:00,420.5792391092832,427.526793526438,418.1043762633223,418.9591369628906,52251700,0.0,0.0,0.0
2024-05-02 00:00:00-04:00,422.7161718987801,425.2109326559096,418.07456043563815,424.30645751953125,36559000,0.0,0.0,0.0
2024-05-03 00:00:00-04:00,431.80062993322093,433.82824472425347,429.991679779772,432.8343200683594,48515300,0.0,0.0,0.0
2024-05-06 00:00:00-04:00,434.6432579110616,437.66479748326907,433.8679978606068,437.5753479003906,30227200,0.0,0.0,0.0
2024-05-07 00:00:00-04:00,438.0226242148974,439.2848976550699,436.90940308002365,437.6449279785156,30996100,0.0,0.0,0.0
2024-05-08 00:00:00-04:00,435.01104084457137,438.7978915602483,434.8917444004341,437.3865051269531,24896700,0.0,0.0,0.0
2024-05-09 00:00:00-04:00,437.6548572433791,438.91716104642546,435.7962228759371,438.3406677246094,24580100,0.0,0.0,0.0
2024-05-10 00:00:00-04:00,439.8514539158625,441.6106897500157,437.8238389948184,439.3743591308594,27116600,0.0,0.0,0.0
2024-05-13 00:00:00-04:00,441.2926282142823,441.39202675305245,438.96684800150217,440.3881530761719,22994200,0.0,0.0,0.0
2024-05-14 00:00:00-04:00,439.9608140449861,443.75761412449566,439.77196590323916,443.22088623046875,34478300,0.0,0.0,0.0
2024-05-15 00:00:00-04:00,445.7056538341918,450.39697971455655,444.184950229549,450.14849853515625,41464700,0.0,0.0,0.0
2024-05-16 00:00:00-04:00,449.9596765327502,451.9276585074266,449.0651503014162,449.234130859375,34780400,0.0,0.0,0.0
